season_id,franchise_id,conference_id
22021,1,1
22021,5,2
22021,6,1
22021,13,1
22021,15,2
22021,16,2
22021,18,1
22021,21,1
22021,24,1
22021,25,1
22021,26,2
22021,27,2
22021,28,1
22021,29,2
22021,30,1
22021,31,2
22021,32,2
22021,33,2
22021,34,1
22021,35,2
22021,36,1
22021,37,2
22021,38,2
22021,39,1
22021,40,1
22021,41,2
22021,42,1
22021,43,2
22021,44,1
22021,45,2
22022,1,1
22022,5,2
22022,6,1
22022,13,1
22022,15,2
22022,16,2
22022,18,1
22022,21,1
22022,24,1
22022,25,1
22022,26,2
22022,27,2
22022,28,1
22022,29,2
22022,30,1
22022,31,2
22022,32,2
22022,33,2
22022,34,1
22022,35,2
22022,36,1
22022,37,2
22022,38,2
22022,39,1
22022,40,1
22022,41,2
22022,42,1
22022,43,2
22022,44,1
22022,45,2
