season_id,franchise_id,division_id
22021,1,4
22021,5,7
22021,6,4
22021,13,5
22021,15,7
22021,16,7
22021,18,8
22021,21,4
22021,24,8
22021,25,5
22021,26,10
22021,27,9
22021,28,5
22021,29,7
22021,30,5
22021,31,7
22021,32,9
22021,33,9
22021,34,4
22021,35,9
22021,36,5
22021,37,10
22021,38,10
22021,39,8
22021,40,8
22021,41,9
22021,42,8
22021,43,10
22021,44,4
22021,45,10
22022,1,4
22022,5,7
22022,6,4
22022,13,5
22022,15,7
22022,16,7
22022,18,8
22022,21,4
22022,24,8
22022,25,5
22022,26,10
22022,27,9
22022,28,5
22022,29,7
22022,30,5
22022,31,7
22022,32,9
22022,33,9
22022,34,4
22022,35,9
22022,36,5
22022,37,10
22022,38,10
22022,39,8
22022,40,8
22022,41,9
22022,42,8
22022,43,10
22022,44,4
22022,45,10
